School Year,Topic,Grade,District,District Name,Proficient,Total,% Proficient,Proficient Category,District Office Location,Iowa ZIP Code Tabulation Areas,Iowa Watersheds (HUC 10),Iowa Watershed Sub-Basins (HUC 08),US Counties
2016,Reading,6,0576,Belle Plaine,34,45,75.6,70.1 - 80%,,,,,
2016,Math,4,1337,College,308,386,79.8,70.1 - 80%,,,,,
2016,Math,11,1233,Clear Lake,49,58,84.5,80.1 - 90%,,,,,
2016,Math,8,1791,Dike-New Hartford,48,59,81.4,80.1 - 90%,,,,,
2016,Math,11,6246,Stratford,0,0,0.0,Not Reportable,,,,,
2016,Math,5,0603,Bennett,,,,Not Reportable,,,,,
2016,Math,5,4995,Osage,61,70,87.1,80.1 - 90%,,,,,
2016,Reading,7,4043,Maquoketa Valley,49,59,83.1,80.1 - 90%,,,,,
2016,Reading,11,6453,Treynor,57,60,95.0,90.1 - 100%,,,,,
2016,Reading,5,4778,North Kossuth,12,16,75.0,70.1 - 80%,,,,,
2016,Math,4,3537,Laurens-Marathon,9,16,56.3,50.1 - 60%,,,,,
2016,Math,5,2977,Highland,41,46,89.1,80.1 - 90%,,,,,
2016,Math,3,0153,North Butler,15,16,93.8,90.1 - 100%,,,,,
2016,Reading,11,6969,West Harrison,18,26,69.2,60.1 - 70%,,,,,
2016,Math,5,1071,Centerville,66,83,79.5,70.1 - 80%,,,,,
2016,Math,4,4041,Maquoketa,55,69,79.7,70.1 - 80%,,,,,
2016,Reading,4,4890,Okoboji,61,68,89.7,80.1 - 90%,,,,,
2016,Math,8,6759,Wapello,39,51,76.5,70.1 - 80%,,,,,
2016,Math,6,4104,Marshalltown,213,311,68.5,60.1 - 70%,,,,,
2016,Reading,4,0747,Boyden-Hull,39,45,86.7,80.1 - 90%,,,,,
2016,Reading,11,6012,Sigourney,34,38,89.5,80.1 - 90%,,,,,
2016,Math,11,0009,AGWSR,36,38,94.7,90.1 - 100%,,,,,
2016,Reading,11,0540,BCLUW,39,47,83.0,80.1 - 90%,,,,,
2016,Reading,3,6854,Wayne,12,16,75.0,70.1 - 80%,,,,,
2016,Math,4,1503,Creston,67,95,70.5,70.1 - 80%,,,,,
2016,Reading,6,0585,Bellevue,30,43,69.8,60.1 - 70%,,,,,
2016,Math,5,6969,West Harrison,14,15,93.3,90.1 - 100%,,,,,
2016,Reading,5,6219,Storm Lake,104,176,59.1,50.1 - 60%,,,,,
2016,Math,8,6035,Sioux Central,31,45,68.9,60.1 - 70%,,,,,
2016,Reading,3,6095,South Hamilton,12,16,75.0,70.1 - 80%,,,,,
2016,Reading,6,6460,Tri-Center,38,46,82.6,80.1 - 90%,,,,,
2016,Math,5,2007,Eldora-New Providence,35,39,89.7,80.1 - 90%,,,,,
2016,Reading,7,4086,Marion Independent,115,156,73.7,70.1 - 80%,,,,,
2016,Math,11,0135,Allamakee,87,101,86.1,80.1 - 90%,,,,,
2016,Math,7,3154,Iowa Valley,26,31,83.9,80.1 - 90%,,,,,
2016,Reading,7,6975,West Liberty,52,73,71.2,70.1 - 80%,,,,,
2016,Math,5,4772,Central Springs,41,45,91.1,90.1 - 100%,,,,,
2016,Math,8,5697,Rudd-Rockford-Marble Rk,21,28,75.0,70.1 - 80%,,,,,
2016,Math,7,0108,Alden,0,0,0.0,Not Reportable,,,,,
2016,Math,7,6840,Waverly-Shell Rock,149,159,93.7,90.1 - 100%,,,,,
2016,Reading,5,0936,Camanche,65,79,82.3,80.1 - 90%,,,,,
2016,Math,5,1134,Charter Oak-Ute,11,13,84.6,80.1 - 90%,,,,,
2016,Reading,8,6093,Solon,89,95,93.7,90.1 - 100%,,,,,
2016,Reading,3,4068,Marcus-Meriden-Cleghorn,12,16,75.0,70.1 - 80%,,,,,
2016,Math,5,4644,Newell-Fonda,28,43,65.1,60.1 - 70%,,,,,
2016,Reading,4,4878,Ogden,49,54,90.7,90.1 - 100%,,,,,
2016,Math,11,5160,PCM,60,64,93.8,90.1 - 100%,,,,,
2016,Math,11,4491,Moravia,21,26,80.8,80.1 - 90%,,,,,
2016,Reading,5,2682,GMG,29,33,87.9,80.1 - 90%,,,,,
2016,Reading,5,0414,Audubon,20,31,64.5,60.1 - 70%,,,,,
2016,Reading,4,0333,North Union,24,31,77.4,70.1 - 80%,,,,,
2016,Math,5,4775,Northeast Hamilton,,,,Not Reportable,,,,,
2016,Math,6,6651,Villisca,32,47,68.1,60.1 - 70%,,,,,
2016,Math,5,4776,North Mahaska,32,38,84.2,80.1 - 90%,,,,,
2016,Reading,5,4774,North Fayette,47,53,88.7,80.1 - 90%,,,,,
2016,Math,7,5310,Postville,41,47,87.2,80.1 - 90%,,,,,
2016,Reading,3,4509,Morning Sun,12,16,75.0,70.1 - 80%,,,,,
2016,Math,7,0882,Burlington,198,259,76.4,70.1 - 80%,,,,,
2016,Reading,7,6039,Sioux City,689,938,73.5,70.1 - 80%,,,,,
2016,Math,7,4644,Newell-Fonda,23,25,92.0,90.1 - 100%,,,,,
2016,Math,3,6516,Twin Rivers,15,16,93.8,90.1 - 100%,,,,,
2016,Reading,11,4023,Manson Northwest Webster,33,43,76.7,70.1 - 80%,,,,,
2016,Math,8,6969,West Harrison,16,19,84.2,80.1 - 90%,,,,,
2016,Reading,6,6039,Sioux City,685,978,70.0,60.1 - 70%,,,,,
2016,Reading,8,6095,South Hamilton,44,54,81.5,80.1 - 90%,,,,,
2016,Reading,7,4599,Nashua-Plainfield,36,46,78.3,70.1 - 80%,,,,,
2016,Math,6,4554,Mount Vernon,77,84,91.7,90.1 - 100%,,,,,
2016,Reading,8,6975,West Liberty,74,85,87.1,80.1 - 90%,,,,,
2016,Math,3,0009,AGWSR,15,16,93.8,90.1 - 100%,,,,,
2016,Reading,5,5184,Perry,62,89,69.7,60.1 - 70%,,,,,
2016,Reading,7,4995,Osage,48,59,81.4,80.1 - 90%,,,,,
2016,Math,11,1134,Charter Oak-Ute,20,24,83.3,80.1 - 90%,,,,,
2016,Math,11,2322,Fort Madison,107,142,75.4,70.1 - 80%,,,,,
2016,Math,8,5949,Sheldon,51,59,86.4,80.1 - 90%,,,,,
2016,Math,8,5463,Red Oak,47,72,65.3,60.1 - 70%,,,,,
